Year,Hour,Fuel,Value
2026,119,Power,-0.0
2026,119,Heat,-0.0
2026,119,Mobility,-0.0
2026,119,Cooking,-0.0
2026,119,Diesel,-0.0
2026,119,FireWood,-0.0
2026,120,Power,-0.0
2026,120,Heat,-0.0
2026,120,Mobility,-0.0
2026,120,Cooking,-0.0
2026,120,Diesel,-0.0
2026,120,FireWood,-0.0
2026,121,Power,-0.0
2026,121,Heat,-0.0
2026,121,Mobility,-2.7755575615628914e-17
2026,121,Cooking,-0.0
2026,121,Diesel,-0.0
2026,121,FireWood,-0.0
2026,122,Power,-0.0
2026,122,Heat,-0.0
2026,122,Mobility,-0.0
2026,122,Cooking,-0.0
2026,122,Diesel,-0.0
2026,122,FireWood,-0.0
2026,123,Power,-0.0
2026,123,Heat,-0.0
2026,123,Mobility,-0.0
2026,123,Cooking,-0.0
2026,123,Diesel,-0.0
2026,123,FireWood,-0.0
2026,124,Power,-0.0
2026,124,Heat,-0.0
2026,124,Mobility,-0.0
2026,124,Cooking,-0.0
2026,124,Diesel,-0.0
2026,124,FireWood,-0.0
2026,125,Power,-0.0
2026,125,Heat,-0.0
2026,125,Mobility,-0.0
2026,125,Cooking,-0.0
2026,125,Diesel,-0.0
2026,125,FireWood,-0.0
2026,126,Power,-0.0
2026,126,Heat,-0.0
2026,126,Mobility,-0.0
2026,126,Cooking,-0.0
2026,126,Diesel,-0.0
2026,126,FireWood,-0.0
2026,127,Power,-0.0
2026,127,Heat,-0.0
2026,127,Mobility,-0.0
2026,127,Cooking,-0.0
2026,127,Diesel,-0.0
2026,127,FireWood,-0.0
2026,128,Power,-0.0
2026,128,Heat,-0.0
2026,128,Mobility,-0.0
2026,128,Cooking,-0.0
2026,128,Diesel,-0.0
2026,128,FireWood,-0.0
2026,129,Power,-0.0
2026,129,Heat,-0.0
2026,129,Mobility,-0.0
2026,129,Cooking,-0.0
2026,129,Diesel,-0.0
2026,129,FireWood,-0.0
2026,130,Power,-0.0
2026,130,Heat,-0.0
2026,130,Mobility,-0.0
2026,130,Cooking,-0.0
2026,130,Diesel,-0.0
2026,130,FireWood,-0.0
2026,131,Power,-0.0
2026,131,Heat,-0.0
2026,131,Mobility,-0.0
2026,131,Cooking,-0.0
2026,131,Diesel,-0.0
2026,131,FireWood,-0.0
2026,132,Power,-0.0
2026,132,Heat,-0.0
2026,132,Mobility,-0.0
2026,132,Cooking,-0.0
2026,132,Diesel,-0.0
2026,132,FireWood,-0.0
2026,133,Power,-0.0
2026,133,Heat,-0.0
2026,133,Mobility,-0.0
2026,133,Cooking,-0.0
2026,133,Diesel,-0.0
2026,133,FireWood,-0.0
2026,134,Power,-0.0
2026,134,Heat,-0.0
2026,134,Mobility,-0.0
2026,134,Cooking,-0.0
2026,134,Diesel,-0.0
2026,134,FireWood,-0.0
2026,135,Power,-0.0
2026,135,Heat,-0.0
2026,135,Mobility,-0.0
2026,135,Cooking,-0.0
2026,135,Diesel,-0.0
2026,135,FireWood,-0.0
2026,136,Power,-0.0
2026,136,Heat,-0.0
2026,136,Mobility,-0.0
2026,136,Cooking,-0.0
2026,136,Diesel,-0.0
2026,136,FireWood,-0.0
2026,137,Power,-0.0
2026,137,Heat,-0.0
2026,137,Mobility,-0.0
2026,137,Cooking,-0.0
2026,137,Diesel,-0.0
2026,137,FireWood,-0.0
2026,138,Power,-0.0
2026,138,Heat,-0.0
2026,138,Mobility,-0.0
2026,138,Cooking,-0.0
2026,138,Diesel,-0.0
2026,138,FireWood,-0.0
2026,139,Power,-0.0
2026,139,Heat,-0.0
2026,139,Mobility,-0.0
2026,139,Cooking,-0.0
2026,139,Diesel,-0.0
2026,139,FireWood,-0.0
2026,140,Power,-0.0
2026,140,Heat,-0.0
2026,140,Mobility,-0.0
2026,140,Cooking,-0.0
